Street Name,Latitude,Longitude,Safety Rating,Number of Crimes,Street Type,Traffic Level,Lighting Quality,CCTV Coverage,Distance to Nearest Police Station (km),Pedestrian Activity,Nearby Public Spaces,Crime Severity Index,Police Patrolling Frequency,Most Common Crime Types
MG Road 704,12.961986,77.578838,5,14,Commercial,High,Moderate,Low,1.7,Low,None,5.4,Rare,Robbery
Brigade Road 705,12.881472,77.690968,5,48,Residential,Moderate,Moderate,High,2.9,Low,Park,8.0,Occasional,Harassment
Indiranagar 100 Feet Road 706,12.881147,77.50479,5,32,Commercial,Low,Poor,Medium,0.6,High,Playground,5.8,Frequent,Robbery
Bannerghatta Road 707,12.894459,77.600429,2,21,Residential,Moderate,Good,Low,1.0,High,Market,5.9,Frequent,Assault
Jayanagar 4th Block 708,12.904412,77.551032,4,10,Industrial,Low,Poor,High,1.6,High,Playground,6.1,Frequent,Harassment
Indiranagar 100 Feet Road 709,12.912268,77.613328,2,46,Commercial,Moderate,Poor,High,4.8,Moderate,None,5.8,Frequent,Robbery
BTM Layout 710,12.993972,77.671151,1,40,Mixed-use,High,Poor,Low,3.1,High,None,1.7,Occasional,Harassment
Bannerghatta Road 711,12.873005,77.537852,2,20,Mixed-use,Low,Poor,Low,1.6,High,Market,5.4,Rare,Assault
Koramangala 1st Block 712,12.94378,77.546827,4,22,Commercial,Moderate,Moderate,Low,4.6,Low,Market,8.5,Rare,Theft
Indiranagar 100 Feet Road 713,12.99804,77.695923,2,45,Mixed-use,High,Good,Low,2.9,Moderate,None,2.4,Frequent,Vandalism
Koramangala 1st Block 714,12.904761,77.562305,4,29,Industrial,Moderate,Good,Medium,3.1,Moderate,Market,1.2,Occasional,Vandalism
BTM Layout 715,12.859302,77.649837,2,23,Mixed-use,High,Moderate,Low,3.4,Moderate,Mall,8.6,Rare,Theft
Commercial Street 716,12.886258,77.65356,3,24,Residential,High,Good,High,2.8,High,None,7.5,Rare,Harassment
Church Street 717,12.92478,77.515065,3,27,Residential,Low,Good,Low,3.5,Low,Playground,8.5,Frequent,Theft
Church Street 718,12.947364,77.695553,2,27,Mixed-use,Moderate,Moderate,Medium,2.1,Low,Playground,7.0,Rare,Harassment
Commercial Street 719,12.980846,77.684563,1,31,Mixed-use,Low,Moderate,Low,0.8,Moderate,Mall,5.2,Rare,Robbery
Jayanagar 4th Block 720,12.879774,77.658095,2,40,Industrial,Low,Good,Low,0.9,High,Park,2.1,Occasional,Robbery
Church Street 721,12.945528,77.514676,5,26,Industrial,Moderate,Good,Medium,0.9,Moderate,Market,9.7,Occasional,Vandalism
Whitefield Main Road 722,12.850836,77.555102,2,44,Residential,High,Moderate,Low,3.4,High,None,4.7,Frequent,Theft
Commercial Street 723,12.939526,77.541265,1,44,Mixed-use,Low,Moderate,High,0.8,Moderate,Park,8.2,Rare,Vandalism
BTM Layout 724,12.942775,77.577909,2,37,Industrial,Moderate,Moderate,High,4.3,Moderate,Mall,4.7,Rare,Vandalism
Brigade Road 725,12.888651,77.698804,4,23,Residential,Moderate,Poor,Medium,1.1,High,Park,4.9,Rare,Theft
HSR Layout 726,12.9582,77.637823,3,37,Industrial,High,Good,High,2.1,Moderate,Playground,9.2,Frequent,Vandalism
Church Street 727,12.969146,77.635862,3,48,Mixed-use,Moderate,Good,Medium,2.2,High,Mall,5.5,Rare,Robbery
Koramangala 1st Block 728,12.950771,77.593464,5,45,Commercial,Low,Poor,Medium,4.5,Low,None,5.8,Occasional,Robbery
Bannerghatta Road 729,12.910234,77.549918,2,20,Commercial,Low,Moderate,High,5.0,Low,None,9.8,Rare,Assault
Church Street 730,12.956672,77.608469,2,48,Residential,Low,Moderate,High,0.8,Moderate,Playground,8.9,Occasional,Harassment
Bannerghatta Road 731,12.936165,77.597855,5,17,Commercial,Moderate,Poor,High,3.0,Low,Mall,2.3,Rare,Assault
Bannerghatta Road 732,12.862625,77.672196,4,3,Commercial,High,Good,Low,3.4,Low,Market,9.6,Rare,Robbery
Koramangala 1st Block 733,12.971778,77.505896,2,13,Commercial,Moderate,Moderate,Low,1.5,Moderate,Market,6.9,Frequent,Vandalism
Jayanagar 4th Block 734,12.858781,77.513359,4,49,Industrial,Low,Good,High,4.1,High,Park,1.3,Occasional,Harassment
BTM Layout 735,12.881401,77.631591,3,30,Commercial,Low,Poor,Medium,3.1,Moderate,Playground,5.7,Frequent,Robbery
Commercial Street 736,12.964601,77.648235,3,21,Commercial,Moderate,Good,High,1.0,High,None,8.0,Rare,Theft
HSR Layout 737,12.981631,77.583702,5,38,Industrial,Low,Good,High,4.6,High,Mall,6.3,Rare,Harassment
Koramangala 1st Block 738,12.98124,77.671471,2,22,Residential,High,Poor,Low,3.6,Moderate,Mall,6.8,Occasional,Theft
Church Street 739,12.941838,77.639328,4,21,Commercial,Low,Poor,High,4.4,High,Market,8.9,Frequent,Robbery
BTM Layout 740,12.913719,77.594772,4,37,Residential,Moderate,Moderate,Low,4.6,High,Market,2.8,Occasional,Theft
BTM Layout 741,12.893429,77.639878,4,39,Commercial,Low,Good,Low,0.9,High,Mall,1.7,Rare,Robbery
MG Road 742,12.91606,77.646553,2,4,Mixed-use,Low,Good,High,3.6,Moderate,Park,8.0,Occasional,Theft
Indiranagar 100 Feet Road 743,12.97939,77.63152,5,24,Residential,High,Poor,High,1.1,Low,Mall,9.2,Occasional,Assault
MG Road 744,12.894783,77.616706,3,48,Commercial,Moderate,Good,High,2.9,Moderate,Market,1.3,Occasional,Vandalism
Whitefield Main Road 745,12.976216,77.608963,1,17,Residential,Low,Good,Medium,3.8,Low,Market,5.9,Occasional,Assault
Church Street 746,12.898823,77.614592,3,47,Commercial,Moderate,Poor,Low,3.0,High,Market,4.7,Occasional,Harassment
Brigade Road 747,12.89728,77.540821,4,46,Industrial,High,Poor,Low,2.4,Low,Playground,8.1,Frequent,Vandalism
Koramangala 1st Block 748,12.981807,77.607828,5,18,Industrial,High,Moderate,Low,3.0,Moderate,Mall,7.0,Occasional,Theft
HSR Layout 749,12.873765,77.608897,5,36,Commercial,High,Poor,High,4.8,Moderate,Park,8.3,Rare,Theft
BTM Layout 750,12.927216,77.62294,4,34,Residential,High,Moderate,Medium,2.1,Moderate,Park,9.6,Rare,Theft
MG Road 751,12.896628,77.575201,2,23,Residential,High,Poor,Medium,2.2,Moderate,Market,3.7,Occasional,Theft
BTM Layout 752,12.984094,77.650292,2,36,Mixed-use,Moderate,Good,Medium,3.1,Moderate,None,3.4,Frequent,Assault
HSR Layout 753,12.970701,77.529846,3,33,Residential,High,Good,Medium,4.4,Moderate,None,7.9,Rare,Theft
Commercial Street 754,12.861974,77.613658,1,11,Mixed-use,Moderate,Poor,Medium,3.8,Moderate,Playground,7.0,Rare,Harassment
Church Street 755,12.949435,77.606652,5,4,Industrial,Low,Good,High,0.8,Low,Mall,4.0,Frequent,Vandalism
Brigade Road 756,12.868609,77.682987,5,50,Commercial,Low,Moderate,Medium,4.7,High,Mall,9.3,Frequent,Assault
Brigade Road 757,12.876743,77.591747,3,47,Residential,High,Good,High,0.5,High,None,1.6,Frequent,Assault
HSR Layout 758,12.871077,77.575488,5,14,Mixed-use,High,Good,Medium,1.8,Moderate,Park,5.9,Occasional,Assault
BTM Layout 759,12.952398,77.642017,1,31,Mixed-use,Moderate,Poor,Low,2.1,High,None,3.0,Frequent,Vandalism
Commercial Street 760,12.906432,77.53047,1,22,Industrial,High,Poor,Medium,2.3,Moderate,Mall,6.0,Rare,Vandalism
Brigade Road 761,12.88403,77.525101,1,26,Industrial,Moderate,Poor,Low,4.8,Low,Mall,5.3,Occasional,Harassment
Jayanagar 4th Block 762,12.969359,77.659188,2,36,Commercial,High,Good,Low,4.5,Moderate,Market,6.2,Occasional,Assault
Commercial Street 763,12.961258,77.633258,4,36,Industrial,Low,Moderate,Medium,1.1,Moderate,Playground,3.7,Rare,Robbery
Whitefield Main Road 764,12.932991,77.67427,4,40,Residential,Moderate,Poor,Medium,2.2,High,Mall,7.0,Frequent,Theft
MG Road 765,12.864611,77.516345,4,5,Residential,Moderate,Poor,Medium,3.3,Moderate,Market,1.8,Rare,Theft
Church Street 766,12.90545,77.632586,5,50,Residential,Low,Poor,Medium,3.3,High,Park,2.6,Occasional,Theft
HSR Layout 767,12.911191,77.599974,5,30,Residential,Low,Moderate,High,4.2,Moderate,None,1.3,Occasional,Robbery
Bannerghatta Road 768,12.97945,77.674396,5,3,Residential,Low,Moderate,High,3.0,Moderate,Playground,1.7,Rare,Assault
Church Street 769,12.962167,77.685233,2,44,Mixed-use,Low,Moderate,High,1.2,Low,Playground,5.0,Frequent,Theft
Whitefield Main Road 770,12.987406,77.601729,5,19,Mixed-use,Moderate,Moderate,Low,2.2,Moderate,Market,5.0,Rare,Robbery
MG Road 771,12.983551,77.580542,2,36,Commercial,Low,Moderate,Low,4.2,Moderate,Market,7.0,Occasional,Assault
Koramangala 1st Block 772,12.971066,77.688228,3,11,Industrial,Moderate,Moderate,Low,2.0,Moderate,Mall,2.1,Rare,Assault
Church Street 773,12.895358,77.653649,1,33,Commercial,High,Moderate,High,4.9,High,Mall,4.1,Rare,Vandalism
Whitefield Main Road 774,12.905448,77.60747,3,27,Commercial,Low,Good,Low,1.9,Moderate,None,7.4,Occasional,Assault
Brigade Road 775,12.971596,77.618875,2,6,Commercial,Moderate,Good,Medium,2.9,Moderate,Mall,9.0,Frequent,Robbery
Bannerghatta Road 776,12.929081,77.507,2,38,Commercial,Moderate,Good,Low,0.7,High,Market,9.0,Rare,Vandalism
MG Road 777,12.909757,77.582986,3,1,Residential,High,Good,Medium,2.8,High,Mall,3.5,Frequent,Robbery
Commercial Street 778,12.96628,77.667544,3,36,Industrial,Low,Good,High,2.5,Low,None,7.5,Occasional,Theft
Whitefield Main Road 779,12.924268,77.538063,4,39,Mixed-use,Low,Good,Medium,1.6,Moderate,Playground,1.7,Rare,Theft
BTM Layout 780,12.954319,77.554327,4,50,Commercial,Low,Poor,Low,1.2,Moderate,Market,6.2,Frequent,Theft
HSR Layout 781,12.865442,77.554113,4,7,Mixed-use,Low,Poor,High,4.0,Low,Mall,8.7,Frequent,Harassment
MG Road 782,12.853473,77.657997,5,35,Commercial,High,Moderate,High,4.1,High,Market,6.1,Occasional,Theft
Whitefield Main Road 783,12.924335,77.616446,4,7,Industrial,Moderate,Poor,Low,2.6,High,Playground,8.9,Frequent,Vandalism
HSR Layout 784,12.864258,77.631353,3,41,Mixed-use,Moderate,Moderate,Low,1.4,Low,Market,8.0,Occasional,Theft
Commercial Street 785,12.880545,77.653832,3,0,Residential,Moderate,Poor,Medium,3.3,Low,Park,4.8,Occasional,Assault
Jayanagar 4th Block 786,12.890775,77.613212,5,13,Mixed-use,High,Poor,Medium,0.5,Low,Playground,5.4,Frequent,Assault
Koramangala 1st Block 787,12.998084,77.566282,5,17,Industrial,Moderate,Moderate,Medium,4.0,Moderate,Playground,2.7,Frequent,Assault
MG Road 788,12.908735,77.633082,1,29,Mixed-use,Low,Poor,Medium,3.4,Low,Park,8.4,Occasional,Robbery
MG Road 789,12.939628,77.692956,2,10,Residential,High,Moderate,Medium,2.0,Moderate,Mall,9.1,Rare,Vandalism
MG Road 790,12.890243,77.556944,1,44,Residential,Moderate,Good,High,4.7,High,None,1.8,Occasional,Assault
Bannerghatta Road 791,12.996466,77.538068,5,31,Commercial,High,Moderate,High,2.0,High,Mall,10.0,Occasional,Robbery
BTM Layout 792,12.856566,77.647721,4,39,Industrial,Moderate,Moderate,Low,2.4,Low,Playground,9.2,Occasional,Vandalism
BTM Layout 793,12.99419,77.510159,3,17,Industrial,Low,Moderate,Low,4.9,Low,None,8.0,Frequent,Theft
MG Road 794,12.866807,77.574888,3,20,Residential,Moderate,Poor,Low,0.6,High,Market,6.7,Occasional,Theft
BTM Layout 795,12.974458,77.559688,1,31,Commercial,Low,Poor,Medium,2.8,High,Market,4.6,Occasional,Harassment
Indiranagar 100 Feet Road 796,12.869045,77.577988,3,15,Industrial,Low,Poor,Medium,4.4,High,Park,7.4,Frequent,Vandalism
Bannerghatta Road 797,12.877271,77.6509,2,18,Industrial,Low,Good,High,4.6,Moderate,Mall,5.7,Frequent,Theft
Indiranagar 100 Feet Road 798,12.868642,77.624861,1,7,Residential,High,Moderate,Medium,1.0,Low,None,1.7,Frequent,Harassment
Whitefield Main Road 799,12.941567,77.696751,2,18,Residential,Moderate,Moderate,Low,3.7,Low,Mall,6.4,Frequent,Robbery
Whitefield Main Road 800,12.982218,77.686078,4,19,Mixed-use,High,Good,Medium,1.4,Low,Playground,8.8,Occasional,Vandalism
HSR Layout 801,12.922869,77.680584,5,29,Mixed-use,Moderate,Moderate,High,2.4,Low,Playground,5.0,Frequent,Assault
Commercial Street 802,12.964742,77.692787,5,38,Mixed-use,Moderate,Poor,High,1.1,Low,Park,1.3,Rare,Harassment
MG Road 803,12.907022,77.509237,5,10,Residential,High,Moderate,High,4.5,High,Market,5.9,Frequent,Assault
Koramangala 1st Block 804,12.923122,77.511131,3,47,Residential,Moderate,Moderate,High,1.2,Moderate,Playground,7.8,Rare,Theft
HSR Layout 805,12.861602,77.584066,1,11,Commercial,Moderate,Moderate,Medium,4.4,Moderate,Playground,3.3,Occasional,Harassment
Whitefield Main Road 806,12.854968,77.529629,2,1,Commercial,Moderate,Good,Medium,4.8,Moderate,Park,3.4,Rare,Robbery
Indiranagar 100 Feet Road 807,12.889452,77.535,4,22,Mixed-use,High,Good,Medium,4.9,Low,Market,2.2,Occasional,Vandalism
HSR Layout 808,12.988681,77.606225,1,27,Residential,Moderate,Moderate,High,1.1,High,Playground,5.3,Occasional,Assault
Brigade Road 809,12.929955,77.515766,3,42,Industrial,Moderate,Good,High,2.4,High,Market,3.1,Occasional,Theft
Jayanagar 4th Block 810,12.912447,77.601233,1,6,Mixed-use,High,Moderate,Medium,2.0,High,Mall,9.1,Occasional,Robbery
HSR Layout 811,12.92099,77.543216,1,46,Mixed-use,Low,Moderate,High,1.8,High,Mall,5.6,Occasional,Assault
Bannerghatta Road 812,12.868367,77.648554,3,39,Commercial,Moderate,Good,Low,3.3,Low,Market,5.9,Occasional,Assault
Indiranagar 100 Feet Road 813,12.939454,77.545642,5,23,Residential,High,Good,Medium,3.4,High,Market,9.1,Frequent,Vandalism
Indiranagar 100 Feet Road 814,12.991912,77.575783,2,7,Industrial,High,Moderate,High,1.8,Moderate,Park,3.3,Occasional,Vandalism
HSR Layout 815,12.928274,77.664996,5,2,Industrial,Low,Good,High,3.6,Low,Mall,6.8,Frequent,Harassment
Koramangala 1st Block 816,12.897325,77.610909,2,34,Commercial,Moderate,Moderate,Low,1.4,High,Playground,7.2,Rare,Theft
Church Street 817,12.984624,77.546853,2,4,Residential,Moderate,Good,Low,4.0,Low,None,5.6,Frequent,Vandalism
BTM Layout 818,12.916051,77.68332,1,16,Industrial,High,Moderate,Medium,3.3,High,Park,6.7,Occasional,Theft
Bannerghatta Road 819,12.990065,77.511324,2,36,Mixed-use,Moderate,Poor,High,3.6,Moderate,None,7.4,Occasional,Theft
Brigade Road 820,12.937765,77.563863,3,21,Mixed-use,Moderate,Poor,Low,1.2,Moderate,None,6.1,Rare,Theft
Koramangala 1st Block 821,12.89458,77.673529,1,23,Mixed-use,Moderate,Moderate,Medium,3.2,Moderate,None,1.4,Rare,Assault
Jayanagar 4th Block 822,12.96275,77.517536,4,13,Commercial,High,Poor,Low,3.3,High,Market,7.7,Rare,Vandalism
Whitefield Main Road 823,12.923134,77.540198,5,21,Commercial,High,Poor,Medium,1.0,Low,Mall,3.4,Frequent,Harassment
Commercial Street 824,12.961077,77.537829,4,9,Mixed-use,Moderate,Good,Medium,4.9,Moderate,Market,1.1,Rare,Theft
MG Road 825,12.880404,77.531914,3,16,Mixed-use,Low,Good,High,3.6,Low,Playground,4.2,Frequent,Robbery
Brigade Road 826,12.965886,77.616919,4,36,Residential,Moderate,Moderate,Medium,4.2,Moderate,Market,5.7,Frequent,Robbery
Church Street 827,12.894312,77.581868,5,16,Residential,High,Moderate,Low,3.3,Low,Playground,3.5,Occasional,Theft
Commercial Street 828,12.874968,77.58357,5,17,Mixed-use,High,Poor,High,4.4,Low,Playground,1.8,Rare,Vandalism
Commercial Street 829,12.909338,77.528585,2,48,Commercial,Low,Good,High,1.3,Low,None,3.7,Occasional,Harassment
Commercial Street 830,12.871073,77.519795,5,17,Industrial,Low,Good,Medium,1.7,Low,None,2.9,Frequent,Robbery
Bannerghatta Road 831,12.864995,77.504182,1,20,Industrial,High,Good,Low,1.2,High,Park,7.2,Rare,Theft
MG Road 832,12.949916,77.64738,2,34,Mixed-use,High,Moderate,Low,1.1,Moderate,Market,5.7,Frequent,Vandalism
Brigade Road 833,12.87846,77.563922,3,34,Industrial,Moderate,Moderate,Low,0.8,Low,Market,9.5,Frequent,Assault
Indiranagar 100 Feet Road 834,12.975581,77.612834,2,17,Mixed-use,Moderate,Poor,Low,3.7,Moderate,Mall,8.1,Frequent,Theft
Brigade Road 835,12.878464,77.675532,4,18,Commercial,Low,Poor,Low,3.4,Moderate,Park,4.7,Occasional,Robbery
HSR Layout 836,12.977956,77.533845,3,10,Commercial,Low,Poor,Low,3.9,Moderate,Mall,9.4,Rare,Assault
Jayanagar 4th Block 837,12.972019,77.519923,1,10,Residential,High,Moderate,Low,1.4,High,Park,7.0,Occasional,Assault
Church Street 838,12.858634,77.666893,2,47,Commercial,High,Good,Medium,1.8,High,None,5.7,Frequent,Robbery
Jayanagar 4th Block 839,12.955479,77.680273,1,33,Residential,Low,Good,Low,4.6,High,Mall,8.2,Frequent,Theft
Commercial Street 840,12.875403,77.568572,4,19,Industrial,High,Moderate,Low,3.9,Low,Market,10.0,Frequent,Harassment
Commercial Street 841,12.884252,77.663673,2,30,Mixed-use,High,Good,Low,3.3,Low,Market,8.4,Frequent,Harassment
Bannerghatta Road 842,12.929548,77.503819,1,25,Commercial,High,Moderate,Low,2.6,Moderate,Park,4.9,Frequent,Vandalism
MG Road 843,12.930802,77.520526,5,15,Industrial,Moderate,Poor,Medium,1.8,Low,None,1.6,Frequent,Assault
HSR Layout 844,12.91588,77.597955,3,30,Industrial,Low,Moderate,High,0.6,High,Market,4.4,Frequent,Harassment
Brigade Road 845,12.927559,77.570687,3,49,Commercial,Low,Moderate,Low,1.4,Low,Playground,9.2,Frequent,Harassment
MG Road 846,12.883546,77.524355,2,3,Commercial,Moderate,Poor,High,2.8,Low,Market,2.7,Occasional,Robbery
Whitefield Main Road 847,12.855343,77.538984,1,16,Commercial,Moderate,Moderate,High,4.5,Low,Market,4.4,Rare,Vandalism
Commercial Street 848,12.908347,77.577156,1,12,Mixed-use,High,Good,High,0.6,Moderate,Park,9.6,Occasional,Theft
Indiranagar 100 Feet Road 849,12.867731,77.595589,2,14,Mixed-use,High,Good,Low,1.8,Moderate,Park,3.5,Frequent,Assault
BTM Layout 850,12.965929,77.519829,5,7,Mixed-use,Moderate,Poor,Low,0.7,Low,Market,5.9,Frequent,Theft
Indiranagar 100 Feet Road 851,12.962699,77.647205,3,45,Residential,Low,Moderate,Low,3.1,Moderate,Market,3.4,Occasional,Robbery
Koramangala 1st Block 852,12.969878,77.640177,4,50,Industrial,High,Moderate,Medium,0.6,High,Mall,9.7,Frequent,Theft
HSR Layout 853,12.966497,77.672891,3,38,Commercial,High,Poor,Medium,2.8,Low,Park,7.8,Frequent,Vandalism
Whitefield Main Road 854,12.890352,77.699522,3,40,Residential,Moderate,Good,Low,0.9,High,Mall,7.7,Rare,Assault
Whitefield Main Road 855,12.947622,77.668472,1,17,Residential,High,Good,High,1.9,Moderate,None,6.5,Rare,Theft
MG Road 856,12.932673,77.611784,3,14,Residential,Low,Poor,High,3.3,Moderate,Market,7.6,Rare,Vandalism
Jayanagar 4th Block 857,12.952795,77.560496,4,10,Industrial,Moderate,Moderate,High,2.7,High,Park,3.6,Frequent,Theft
Jayanagar 4th Block 858,12.951854,77.634508,3,5,Industrial,Low,Poor,High,3.8,High,Mall,1.4,Occasional,Robbery
Bannerghatta Road 859,12.92808,77.694594,3,30,Industrial,Low,Poor,Medium,3.6,High,Park,1.3,Rare,Vandalism
Commercial Street 860,12.983327,77.635758,5,3,Industrial,Low,Moderate,High,0.6,High,Playground,1.7,Occasional,Assault
HSR Layout 861,12.920827,77.646722,2,34,Mixed-use,Moderate,Good,Low,2.5,Moderate,None,5.7,Frequent,Theft
Jayanagar 4th Block 862,12.860619,77.64301,1,7,Mixed-use,Low,Poor,High,2.7,High,Playground,4.8,Occasional,Harassment
Koramangala 1st Block 863,12.902766,77.616218,4,10,Industrial,Low,Good,Low,0.7,High,Park,4.1,Rare,Theft
Bannerghatta Road 864,12.870505,77.527937,2,6,Mixed-use,Low,Good,Low,2.4,Moderate,Market,4.1,Frequent,Vandalism
HSR Layout 865,12.988047,77.593595,5,1,Industrial,High,Good,Medium,0.9,High,Market,4.5,Rare,Vandalism
Brigade Road 866,12.959032,77.517928,5,38,Mixed-use,Moderate,Poor,High,1.4,Moderate,Playground,1.9,Frequent,Robbery
Commercial Street 867,12.863766,77.590698,1,33,Residential,Low,Moderate,High,4.1,Moderate,Mall,8.1,Rare,Theft
Commercial Street 868,12.902739,77.523549,3,21,Commercial,Moderate,Moderate,High,4.9,Moderate,Park,7.7,Occasional,Theft
Brigade Road 869,12.855909,77.503401,3,11,Industrial,High,Poor,Medium,4.9,Low,Park,5.3,Occasional,Vandalism
Bannerghatta Road 870,12.943473,77.588899,4,50,Mixed-use,Low,Poor,Medium,4.9,Moderate,Market,2.6,Occasional,Vandalism
Whitefield Main Road 871,12.97016,77.600022,2,24,Industrial,Moderate,Poor,High,3.7,Moderate,Mall,3.7,Occasional,Vandalism
Brigade Road 872,12.870478,77.553821,5,1,Industrial,Moderate,Poor,Low,3.2,Low,Playground,7.2,Rare,Harassment
HSR Layout 873,12.915361,77.560084,1,34,Industrial,Low,Good,Low,2.1,High,Mall,9.9,Rare,Harassment
Brigade Road 874,12.899242,77.57996,4,16,Industrial,Low,Poor,Low,4.7,Moderate,Park,3.3,Frequent,Harassment
Indiranagar 100 Feet Road 875,12.904883,77.695027,1,15,Residential,Moderate,Poor,High,4.1,Moderate,Market,3.8,Frequent,Theft
Koramangala 1st Block 876,12.901866,77.564594,3,32,Industrial,High,Moderate,Medium,2.1,High,Park,3.7,Frequent,Theft
Commercial Street 877,12.923697,77.552557,1,46,Mixed-use,Low,Poor,Medium,1.2,Low,Playground,2.1,Occasional,Vandalism
Koramangala 1st Block 878,12.994257,77.596263,3,10,Residential,Moderate,Moderate,High,1.1,Moderate,None,8.9,Rare,Vandalism
Indiranagar 100 Feet Road 879,12.854652,77.623219,2,49,Mixed-use,High,Moderate,Medium,0.6,Low,Playground,9.5,Frequent,Robbery
Jayanagar 4th Block 880,12.850139,77.61296,5,35,Industrial,High,Moderate,High,1.5,Low,Market,2.5,Rare,Theft
MG Road 881,12.879706,77.531362,1,6,Mixed-use,Moderate,Good,Medium,4.9,High,Park,8.6,Occasional,Robbery
Jayanagar 4th Block 882,12.945731,77.55326,4,1,Residential,Low,Poor,Low,3.7,High,None,4.2,Frequent,Vandalism
Bannerghatta Road 883,12.982595,77.62402,3,41,Residential,High,Good,High,2.0,Moderate,Mall,2.1,Rare,Harassment
Whitefield Main Road 884,12.886327,77.596513,4,40,Residential,Low,Poor,High,4.2,Low,Playground,3.0,Rare,Assault
BTM Layout 885,12.881241,77.525419,1,25,Mixed-use,Moderate,Poor,Medium,1.2,Moderate,Market,6.1,Occasional,Theft
Commercial Street 886,12.985399,77.584216,5,18,Commercial,High,Good,High,1.8,High,Playground,3.0,Frequent,Robbery
Church Street 887,12.944254,77.518384,1,10,Commercial,High,Good,Low,1.4,High,Playground,7.7,Occasional,Theft
HSR Layout 888,12.928571,77.659627,4,15,Residential,High,Good,Low,1.7,Low,Playground,5.2,Rare,Theft
Bannerghatta Road 889,12.899254,77.692912,3,26,Industrial,Moderate,Good,High,1.2,Moderate,Market,9.5,Occasional,Robbery
